word,meanAnger
value100,100.0
value110,110.0
rozkoszn,1.4074074
świetn,1.3703704
przyjaciel,1.4444444
uśmiech,1.074074
pochwał,1.5185186
winogrono,1.1851852
tańczyć,1.2592592
ładn,1.5555556
pomys,1.3333334
skowron,1.2222222
zwycięzc,1.4814814
świętow,1.5185186
radość,1.1538461
nagradz,1.3076923
soczyst,1.1153846
pos,1.3461539
spełn,1.4230769
słon,1.1153846
zal,1.1538461
roześmian,1.1153846
humor,1.2307693
je,1.5384616
zaufan,1.3846154
jedwabn,1
talent,1.6666666
wiern,1.2962962
pieśc,1.037037
przerw,1.3703704
niebo,1.1481482
hobb,1.2592592
zyskiw,1.4814814
śmiech,1.037037
lekkość,1.1111112
osiąg,1.3333334
lojaln,1.1851852
liz,1.2222222
kanaryjsk,1.2222222
szampan,1.1851852
krajobraz,1.1481482
zgod,1.2592592
pachn,1.1851852
dypl,1.5555556
zapas,1.2222222
weekend,1.2222222
biust,1.2962962
fotografow,1.3703704
mam,1.7407408
toast,1.2962962
osiągni,1.2962962
wynagrodz,1.5555556
anio,1.2592592
daw,1.5555556
pozytywn,1.1111112
sport,1.6666666
dziękow,1.2592592
dobrodziejstwo,1.1923077
kakao,1.1923077
masaż,1.1923077
szczęśliw,1.2692307
medal,1.5
zdr,1.3396226
łagodz,1.3076923
owoc,1.1538461
malin,1.0769231
mił,1.3846154
wolność,1.3461539
czyst,1.2692307
udan,1.3461539
wygodn,1.3461539
rozkwit,1.2692307
puchar,1.2692307
bezp,1.1153846
harmo,1.4230769
wycieczk,1.2692307
wypoczęt,1.3846154
zadowolon,1.3076923
ogród,1.2307693
inteligentn,1.3461539
spełn,1.4615384
wytchn,1.3846154
lub,1.4615384
wypoczyn,1.4615384
wspar,1.5
dobroduszn,1.5384616
wspier,1.3846154
oklask,1.4615384
żart,1.8076923
zrelaksowan,1
wiosenn,1.0384616
lato,1.2307693
ciastko,1.3846154
słoń,1.4615384
oaz,1.0769231
muzyk,1.6538461
sp,1.3461539
przyjemność,1.0384616
miód,1.1153846
poduszk,1.1153846
łąk,1.0769231
melodyjn,1.1538461
prezent,1.1923077
upojn,1.1538461
pozdraw,1.0769231
seks,1.3653846
maj,1.3076923
wesoł,1.1923077
rozradowan,1.1923077
sukces,1.5769231
raj,1.2307693
genialn,1.6538461
wiosn,1.3076923
sjes,1.2692307
koniczyn,1.0769231
łóżko,1.1923077
deser,1.2692307
całow,1.1153846
ulg,1
miś,1.0769231
kwiat,1.1538461
paryż,1.1153846
wakacj,1.1538461
optymist,1.1538461
róż,1.3461539
spokojn,1.3076923
polan,1.3461539
spokój,1.3846154
cud,1.3846154
sierpień,1.5
truskawk,1.1923077
śli,1.2307693
sobo,1.3846154
kochan,1.3076923
radosn,1.5769231
ciepł,1.6153846
wygran,1.3703704
komfort,1.1481482
kolor,1.3703704
zmys,1.2962962
perfum,1.2592592
super,1.2962962
zwycięstwo,1.4074074
zachwyc,1.5925926
urocz,1.2592592
wspaniał,1.2962962
tort,1.3703704
szczęś,1.1481482
lemoniad,1.2592592
zadufan,4.3333335
kosztow,2.925926
drażn,4.888889
pasywn,3.5925925
ogranicz,5.2222223
przeryw,4.037037
żąd,3.6666667
lekkomyśln,4.185185
niewygodn,3.5185184
zazdrosn,4.5185184
spr,3.4074075
biadol,4.148148
szemr,3.4074075
barier,3.2222223
bzdur,3.8148148
neg,3.3076923
posiedz,2.6923077
malkontent,2.8461537
przekorn,2.8076923
obowiązyw,2.5384614
drz,4.076923
podżeg,3.8846154
wścibsk,5.0384617
niegr,3.8846154
komar,4.769231
wyprasz,4.1923075
klakson,3.8076923
ordynarn,4.3461537
poucz,4.3333335
balast,3.2222223
głodn,4.259259
krzykliw,3.925926
głośn,3.7777777
pedant,3.074074
przeoczyć,4.296296
mamrot,2.9615386
rozrzutn,3.8461537
moralis,3.6153846
nieprawid,3.6923077
papl,3.6923077
nadepnąć,3.2307692
pośpiech,4.0384617
ustępow,3
próżn,4.3076925
upart,3.6153846
żąd,3.8076923
gadanin,3.5384614
absurd,3.4230769
zaprzecz,3.5769231
nieuprawnion,3.5769231
chwalipi,4.269231
przemądrzał,4.5384617
budzik,4.423077
oporn,3.2692308
kaprys,2.8846154
naleg,4.076923
kopn,3.7692308
weto,2.9615386
irytow,5.230769
zagmatwan,3.6538463
tandetn,3.8846154
aroganck,4.6923075
przeszkodz,4.4615383
występ,2.7692308
głupo,4.0384617
raban,2.6538463
trąb,3
niszczyć,4.3846154
przekleństwo,3.5769231
mus,3.8076923
krnąbrn,2.9230769
zbuntowan,3.5384614
sprzeciw,3.6153846
beszt,3.6538463
humorzast,3.3076923
niesprawiedliw,5.076923
obciąż,3.3076923
kaz,3.7692308
obrażon,4.0384617
oskarż,4.1153846
denerwow,5.0384617
tęp,3.7307692
dźwig,2.4230769
niecierpliwość,3.8846154
upomin,3.8846154
strajkow,4.0384617
przeszkadz,5
baner,3.5384614
buntownik,3.7307692
awar,5.076923
zakazyw,5.076923
protestow,3.8888888
utarczk,3.3703704
niezgod,3.8888888
niedor,3.6666667
niezgodn,3.5925925
czek,3.8888888
cholern,3.9629629
ubyw,3
sług,2.6296296
utyk,2.4074075
apat,2.6296296
ubog,2.6666667
wieniec,2.2222223
ponur,2.5185184
pożegn,2.4814816
zabliźnion,1.6296296
opłakiw,2.9629629
zakonn,1.6153846
niepogod,2.6923077
przybit,2.2692308
wierzb,1.2307693
tęskn,2.4230769
samotn,2.5769231
pokutn,2.1923077
dół,1.8076923
marn,2.4230769
łza,2.7407408
oklapnięt,2.4444444
siero,2.7037036
smutn,2.6666667
melodramat,2.1851852
oddalon,2.5925925
urn,2.5384614
niem,2.4615386
listopad,2.0769231
cich,1.5
deszcz,2.7307692
posępn,2.6153846
bezdźwi,1.7692307
cherlaw,1.7307693
współczuć,2.1923077
melanchol,2.4615386
jesienn,2
przykrość,3.5384614
wdow,2.4230769
osierocon,3.0769231
ulotn,2.1923077
żałow,3.3846154
dalek,2.6923077
zatroskan,1.6538461
żałob,3.6923077
zniechęcon,3.4615386
zrozpaczon,3.3846154
skruch,2.1923077
nieczuł,3.5769231
przemij,3.3076923
ubolew,3.2307692
zapłakan,3.2692308
klasztor,1.5
złom,2.3076923
apat,3
wyczerpan,3.1153846
więdnąć,1.8076923
nikt,1.6153846
ślep,2.2307692
zmartwion,2.1538463
bezimienn,2.0384614
kondolencj,2.7407408
cmentarz,2.1851852
przygnębion,2.7407408
jąkał,2.1851852
piorun,2.074074
panik,3.074074
wątpliwość,2.7407408
zagraż,3.7777777
stud,1.6666666
spad,2.8888888
przerażając,1.962963
tunel,1.6666666
zjaw,1.5555556
kos,2.3703704
napi,2.8148148
wichur,2.7037036
sztorm,2.1111112
wypowiedź,1.3846154
psychik,1.6923077
amunic,2.3461537
ryzykown,2.1153846
kopal,1.1538461
odpowiad,1.9615384
wynik,1.8076923
uciek,2.3846154
zmian,2.0769231
typow,1.6538461
anonim,2.1923077
broń,2.7307692
potencjaln,1.5384616
diagnozow,1.4230769
strom,1.6153846
policjant,2.0384614
ostr,2.4230769
warun,3.1153846
uważ,1.9230769
tygrys,1.1923077
wyrocz,1.8461539
straszn,2.1153846
straszyć,2.9230769
przep,2.4230769
radar,2.9615386
lęk,2.4615386
niepokój,2.4230769
pszczoł,1.3846154
spadzist,1.7307693
mikrofon,1.4230769
hipnot,1.4814814
olbrzym,1.5185186
zaryzykow,1.925926
zemdl,1.925926
narkoz,1.7777778
sprawozd,2.148148
rozpoczyn,1.5185186
przerażon,3.074074
potwór,2.8148148
szczyp,1.7407408
dentys,2.5925925
burz,2.2222223
rewir,1.962963
funkcjonariusz,2.7037036
ostrzeg,2.0370371
niespokojn,3.1111112
sfor,1.8148148
puk,1.8461539
rekin,2.3846154
benzyn,1.8461539
opresj,3.5
chwiejn,2.5769231
bezdenn,1.5769231
anomal,2.6153846
nożyczk,2.0384614
omen,2.2307692
zastrzyk,2.1538463
testow,2.1153846
ryzyko,2.2307692
test,2.5769231
szklan,1.5
ścig,3.5384614
pełnomocnik,1.9615384
ołów,2.0384614
wybór,1.8846154
gaz,2.3076923
komisj,2.6153846
przyszłość,1.7692307
speszon,2.3846154
trans,1.8076923
głębok,1.6153846
byk,2.7692308
arm,2.7307692
igł,2.1923077
czeluść,1.9230769
duch,1.8076923
horror,2.0769231
rektor,1.8461539
trzęsawisko,2.3076923
kurator,2.9615386
adwokat,2.2307692
skalpel,2.1923077
ciark,1.9615384
pan,2.8076923
nastaw,2.5769231
prognozow,1.7692307
występow,1.7307693
ostrzeż,3.1538463
czujn,1.8846154
defensywn,2.3846154
lawin,2.6153846
szerszeń,2.8076923
szok,2.6923077
propozyc,1.7692307
obław,2.8461537
krawędź,2.0769231
pir,2.1923077
panter,1.5384616
rak,1.5769231
przecz,1.8846154
termin,2.1923077
grzmot,1.7307693
śledz,2.5384614
mum,1.3846154
czyh,2.1538463
kamuflow,1.5384616
dylemat,2.5
obstaw,1.8076923
magm,1.3846154
przestrzeg,2.3076923
thriller,1.6538461
drapieżn,1.8461539
przeczuw,1.5
płonąć,2.7307692
torped,1.6538461
łańcuch,2.2307692
tajn,1.8461539
żmij,2.3846154
zdziw,1.7307693
nieoczekiwan,1.8461539
zalęknion,1.9230769
trzęs,2.4230769
weryfikow,2
cień,1.1538461
przyrzek,1.5384616
dreszcz,1.6923077
maniakaln,2.5
kłuć,2.6538463
przysięg,1.4230769
obaw,2.4230769
sympt,1.7692307
niebezpieczeństwo,3.2307692
