word,category,meanHappiness,meanAnger,meanSadness,meanFear,meanDisgust
rozkoszny,H,5.296296,1.4074074,1.4814814,1.5555556,1.3703704
świetny,H,5.6666665,1.3703704,1.3703704,1.3703704,1.2222222
przyjaciel,H,6.037037,1.4444444,1.6296296,1.5555556,1.037037
uśmiech,H,6.3333335,1.074074,1.2962962,1.2592592,1.1111112
pochwała,H,5.2222223,1.5185186,1.2962962,1.3703704,1.2222222
winogrono,H,4.888889,1.1851852,1.1851852,1.3333334,1.2962962
tańczyć,H,5.5185184,1.2592592,1.3703704,1.925926,1.2592592
ładny,H,5.740741,1.5555556,1.5555556,1.4814814,1.4444444
pomysł,H,5.3333335,1.3333334,1.2222222,1.8888888,1.074074
skowronek,H,4.851852,1.2222222,1.1851852,1.2222222,1.037037
zwycięzca,H,5.6296296,1.4814814,1.4444444,1.7777778,1.2222222
świętować,H,5.740741,1.5185186,1.3703704,1.4074074,1.3703704
radość,H,6.0384617,1.1538461,1.1923077,1.1538461,1.1153846
nagradzać,H,5.3846154,1.3076923,1.2307693,1.2307693,1
soczysty,H,4.769231,1.1153846,1.1538461,1.1923077,1.1538461
posiłek,H,5.1923075,1.3461539,1.3076923,1.3461539,1.2692307
spełnienie,H,6,1.4230769,1.4615384,2.0384614,1.1538461
słoneczny,H,5.923077,1.1153846,1.1923077,1.0769231,1.0384616
zaleta,H,4.8846154,1.1538461,1.1153846,1.3461539,1.0769231
roześmiany,H,6.1923075,1.1153846,1.1153846,1.1538461,1
humor,H,5.6153846,1.2307693,1.5,1.4615384,1.0769231
jeść,H,5.5,1.5384616,1.5769231,1.5384616,1.3461539
zaufany,H,5.6923075,1.3846154,1.4230769,2.0384614,1.1538461
jedwabny,H,4.814815,1,1,1.074074,1
talent,H,6.259259,1.6666666,1.1481482,1.6296296,1.037037
wierny,H,5.814815,1.2962962,1.3703704,1.7407408,1.1111112
pieścić,H,5.962963,1.037037,1.2222222,1.2592592,1.1111112
przerwa,H,5.4444447,1.3703704,1.1481482,1.074074,1.037037
niebo,H,5.888889,1.1481482,1.4074074,1.925926,1.074074
hobby,H,6.259259,1.2592592,1.1481482,1.074074,1.037037
zyskiwać,H,5.7777777,1.4814814,1.1851852,1.6666666,1.074074
śmiech,H,6.5185184,1.037037,1,1.1111112,1.1111112
lekkość,H,5.4074073,1.1111112,1.074074,1.1851852,1.037037
osiągać,H,5.740741,1.3333334,1.1851852,2.148148,1.037037
lojalny,H,5.851852,1.1851852,1.1851852,1.5925926,1.1481482
lizak,H,4.888889,1.2222222,1.3333334,1.1851852,1.037037
kanaryjski,H,4.7777777,1.2222222,1.1851852,1.3333334,1.1111112
szampan,H,5.259259,1.1851852,1.3703704,1.2592592,1.4814814
krajobraz,H,5.740741,1.1481482,1.3333334,1.3333334,1.074074
zgoda,H,5.4814816,1.2592592,1.2222222,1.3333334,1.037037
pachnieć,H,5.296296,1.1851852,1.2592592,1.4074074,1.3703704
dyplom,H,5.814815,1.5555556,1.4444444,2.2962964,1.1481482
zapas,H,4.851852,1.2222222,1.2222222,1.4814814,1.1111112
weekend,H,6.2222223,1.2222222,1.1111112,1.3333334,1
biust,H,5.4444447,1.2962962,1.4444444,1.3703704,1.1111112
fotografować,H,4.9259257,1.3703704,1.2222222,1.3703704,1.1481482
mama,H,6.3333335,1.7407408,2.0370371,1.6296296,1.1481482
toast,H,5.4074073,1.2962962,1.1481482,1.1851852,1.1111112
osiągnięcie,H,5.9259257,1.2962962,1.2222222,1.7407408,1.1111112
wynagrodzenie,H,5.9259257,1.5555556,1.3333334,1.5555556,1.037037
anioł,H,5.3703704,1.2592592,1.2962962,1.6666666,1.1481482
dawać,H,5.6296296,1.5555556,1.4444444,1.7777778,1.1851852
pozytywny,H,5.7777777,1.1111112,1.1481482,1.1481482,1.037037
sport,H,5.5185184,1.6666666,1.2222222,1.925926,1.2222222
dziękować,H,5.3703704,1.2592592,1.2962962,1.3703704,1.2962962
dobrodziejstwo,H,5.3076925,1.1923077,1.3076923,1.1538461,1.2307693
kakao,H,5.1923075,1.1923077,1.3461539,1.1923077,1.3461539
masaż,H,5.5,1.1923077,1.0769231,1.1923077,1.1923077
szczęśliwy,H,6.5,1.2692307,1.3846154,1.4230769,1.1538461
medal,H,5.5384617,1.5,1.3461539,1.1153846,1
zdrowy,H,5.924528,1.3396226,1.1132076,1.8113208,1.1132076
łagodzić,H,5,1.3076923,1.3076923,1.3076923,1.1153846
owocowy,H,5.1153846,1.1538461,1.1153846,1.1538461,1.3461539
malinowy,H,4.923077,1.0769231,1.2307693,1.0769231,1.1923077
miły,H,5.3846154,1.3846154,1.5,1.2692307,1.2692307
wolność,H,5.8846154,1.3461539,1.4230769,2.1923077,1.2307693
czysty,H,5.423077,1.2692307,1.2692307,1.1538461,1
udany,H,5.5,1.3461539,1.1538461,1.3846154,1.1538461
wygodny,H,5,1.3461539,1.2692307,1.2307693,1.4615384
rozkwitać,H,5.6923075,1.2692307,1.3461539,1.5769231,1.3461539
puchar,H,5.0384617,1.2692307,1.1153846,1.3076923,1.1153846
bezpieczny,H,5.730769,1.1153846,1.2307693,1.8076923,1.1923077
harmonia,H,5.6538463,1.4230769,1.3846154,1.2307693,1.2692307
wycieczka,H,5.8076925,1.2692307,1.2307693,1.8076923,1.0769231
wypoczęty,H,6.076923,1.3846154,1.1923077,1.2692307,1.1538461
zadowolony,H,5.6538463,1.3076923,1.2307693,1.1153846,1.1538461
ogród,H,5.6923075,1.2307693,1.9230769,1.5769231,1.0769231
inteligentny,H,6.1153846,1.3461539,1.4230769,1.3846154,1.0769231
spełniać,H,5.423077,1.4615384,1.3846154,1.5769231,1.2307693
wytchnienie,H,5.1538463,1.3846154,1.4615384,1.2692307,1.3461539
lubić,H,5.923077,1.4615384,1.5,1.3846154,1.0769231
wypoczynek,H,6.076923,1.4615384,1.3461539,1.5,1.0769231
wsparcie,H,5.423077,1.5,1.6153846,1.7692307,1.2307693
dobroduszny,H,5.269231,1.5384616,1.5,1.3076923,1.1923077
wspierać,H,5.5384617,1.3846154,1.8076923,1.4230769,1.0769231
oklaski,H,5.423077,1.4615384,1.1538461,1.6538461,1.2692307
żart,H,5.423077,1.8076923,1.4615384,1.5384616,1.5
zrelaksowany,H,6.1153846,1,1.0769231,1,1
wiosenny,H,5.6153846,1.0384616,1.0384616,1.0769231,1.0384616
lato,H,5.8076925,1.2307693,1.2307693,1.1153846,1.1923077
ciastko,H,5.6923075,1.3846154,1.5384616,1.4230769,1.3076923
słońce,H,5.8846154,1.4615384,1.0384616,1.2307693,1.1153846
oaza,H,5.3846154,1.0769231,1.3076923,1.3846154,1
muzyka,H,6.076923,1.6538461,2.3846154,1.3846154,1.2307693
spać,H,5.5,1.3461539,1.3846154,1.3846154,1
przyjemność,H,6.0384617,1.0384616,1.1923077,1.3076923,1.0384616
miód,H,4.8076925,1.1153846,1.2692307,1.1538461,1.0769231
poduszka,H,5.230769,1.1153846,1.3846154,1.4230769,1.0384616
