word,meanAnger
value100,100
value110,110
rozkoszny,1.4074074
świetny,1.3703704
przyjaciel,1.4444444
uśmiech,1.074074
pochwała,1.5185186
winogrono,1.1851852
tańczyć,1.2592592
ładny,1.5555556
pomysł,1.3333334
skowronek,1.2222222
zwycięzca,1.4814814
świętować,1.5185186
radość,1.1538461
nagradzać,1.3076923
soczysty,1.1153846
posiłek,1.3461539
spełnienie,1.4230769
słoneczny,1.1153846
zaleta,1.1538461
roześmiany,1.1153846
humor,1.2307693
jeść,1.5384616
zaufany,1.3846154
jedwabny,1
talent,1.6666666
wierny,1.2962962
pieścić,1.037037
przerwa,1.3703704
niebo,1.1481482
hobby,1.2592592
zyskiwać,1.4814814
śmiech,1.037037
lekkość,1.1111112
osiągać,1.3333334
lojalny,1.1851852
lizak,1.2222222
kanaryjski,1.2222222
szampan,1.1851852
krajobraz,1.1481482
zgoda,1.2592592
pachnieć,1.1851852
dyplom,1.5555556
zapas,1.2222222
weekend,1.2222222
biust,1.2962962
fotografować,1.3703704
mama,1.7407408
toast,1.2962962
osiągnięcie,1.2962962
wynagrodzenie,1.5555556
anioł,1.2592592
dawać,1.5555556
pozytywny,1.1111112
sport,1.6666666
dziękować,1.2592592
dobrodziejstwo,1.1923077
kakao,1.1923077
masaż,1.1923077
szczęśliwy,1.2692307
medal,1.5
zdrowy,1.3396226
łagodzić,1.3076923
owocowy,1.1538461
malinowy,1.0769231
miły,1.3846154
wolność,1.3461539
czysty,1.2692307
udany,1.3461539
wygodny,1.3461539
rozkwitać,1.2692307
puchar,1.2692307
bezpieczny,1.1153846
harmonia,1.4230769
wycieczka,1.2692307
wypoczęty,1.3846154
zadowolony,1.3076923
ogród,1.2307693
inteligentny,1.3461539
spełniać,1.4615384
wytchnienie,1.3846154
lubić,1.4615384
wypoczynek,1.4615384
wsparcie,1.5
dobroduszny,1.5384616
wspierać,1.3846154
oklaski,1.4615384
żart,1.8076923
zrelaksowany,1
wiosenny,1.0384616
lato,1.2307693
ciastko,1.3846154
słońce,1.4615384
oaza,1.0769231
muzyka,1.6538461
spać,1.3461539
przyjemność,1.0384616
miód,1.1153846
poduszka,1.1153846
łąka,1.0769231
melodyjny,1.1538461
prezent,1.1923077
upojny,1.1538461
pozdrawiać,1.0769231
seks,1.3653846
maj,1.3076923
wesoły,1.1923077
rozradowany,1.1923077
sukces,1.5769231
raj,1.2307693
genialny,1.6538461
wiosna,1.3076923
sjesta,1.2692307
koniczyna,1.0769231
łóżko,1.1923077
deser,1.2692307
całować,1.1153846
ulga,1
miś,1.0769231
kwiat,1.1538461
Paryż,1.1153846
wakacje,1.1538461
optymistyczny,1.1538461
róża,1.3461539
spokojny,1.3076923
polana,1.3461539
spokój,1.3846154
cud,1.3846154
sierpień,1.5
truskawkowy,1.1923077
śliczny,1.2307693
sobota,1.3846154
kochany,1.3076923
radosny,1.5769231
ciepły,1.6153846
wygrany,1.3703704
komfort,1.1481482
kolorowy,1.3703704
zmysłowy,1.2962962
perfumy,1.2592592
super,1.2962962
zwycięstwo,1.4074074
zachwycać,1.5925926
uroczy,1.2592592
wspaniały,1.2962962
tort,1.3703704
szczęście,1.1481482
lemoniada,1.2592592
zadufany,4.3333335
kosztować,2.925926
drażnić,4.888889
pasywny,3.5925925
ograniczać,5.2222223
przerywać,4.037037
żądanie,3.6666667
lekkomyślny,4.185185
niewygodny,3.5185184
zazdrosny,4.5185184
sprzeczny,3.4074075
biadolić,4.148148
szemrać,3.4074075
bariera,3.2222223
bzdura,3.8148148
negacja,3.3076923
posiedzenie,2.6923077
malkontent,2.8461537
przekorny,2.8076923
obowiązywać,2.5384614
drzeć,4.076923
podżegać,3.8846154
wścibski,5.0384617
niegrzeczny,3.8846154
komar,4.769231
wypraszać,4.1923075
klakson,3.8076923
ordynarny,4.3461537
pouczać,4.3333335
balast,3.2222223
głodny,4.259259
krzykliwy,3.925926
głośny,3.7777777
pedantyczny,3.074074
przeoczyć,4.296296
mamrotać,2.9615386
rozrzutny,3.8461537
moralista,3.6153846
nieprawidłowy,3.6923077
paplać,3.6923077
nadepnąć,3.2307692
pośpiech,4.0384617
ustępować,3
próżny,4.3076925
uparty,3.6153846
żądać,3.8076923
gadanina,3.5384614
absurd,3.4230769
zaprzeczać,3.5769231
nieuprawniony,3.5769231
chwalipięta,4.269231
przemądrzały,4.5384617
budzik,4.423077
oporny,3.2692308
kaprys,2.8846154
nalegać,4.076923
kopniak,3.7692308
weto,2.9615386
irytować,5.230769
zagmatwany,3.6538463
tandetny,3.8846154
arogancki,4.6923075
przeszkodzić,4.4615383
występek,2.7692308
głupota,4.0384617
raban,2.6538463
trąbić,3
niszczyć,4.3846154
przekleństwo,3.5769231
musieć,3.8076923
krnąbrny,2.9230769
zbuntowany,3.5384614
sprzeciw,3.6153846
besztać,3.6538463
humorzasty,3.3076923
niesprawiedliwy,5.076923
obciążać,3.3076923
kazanie,3.7692308
obrażony,4.0384617
oskarżać,4.1153846
denerwować,5.0384617
tępy,3.7307692
dźwigać,2.4230769
niecierpliwość,3.8846154
upominać,3.8846154
strajkować,4.0384617
przeszkadzać,5
baner,3.5384614
buntownik,3.7307692
awaria,5.076923
zakazywać,5.076923
protestować,3.8888888
utarczka,3.3703704
niezgoda,3.8888888
niedorzeczny,3.6666667
niezgodny,3.5925925
czekać,3.8888888
cholerny,3.9629629
ubywać,3
sługa,2.6296296
utykać,2.4074075
